t,omega1,omega2,omega3
0.0,0.0,0.2,0.3
0.01,-0.00029998488713061896,0.19998977476127996,0.3
0.02,-0.0005999390971009521,0.19997909909057773,0.3
0.03,-0.0008998619528666164,0.1999679730568466,0.3
0.04,-0.0011997527775041697,0.19995639673006113,0.3
0.05,-0.001499610894236324,0.19994437018121325,0.3
0.06,-0.001799435626432054,0.19993189348231216,0.3
0.07,-0.0020992262976065965,0.19991896670638434,0.3
0.08,-0.0023989822314214493,0.19990558992747365,0.3
0.09,-0.0026987027516843735,0.1998917632206412,0.3
0.1,-0.002998387182349391,0.19987748666196536,0.3
0.11,-0.0032980348475167855,0.19986276032854192,0.3
0.12,-0.0035976450714453215,0.19984758429848204,0.3
0.13,-0.0038972171793791185,0.19983195865079365,0.3
0.14,-0.004196750496159932,0.19981588346558377,0.3
0.15,-0.0044962443461998725,0.19979935882405958,0.3
0.16,-0.004795698054099621,0.19978238480843794,0.3
0.17,-0.0050951109446484245,0.19976496150194548,0.3
0.18,-0.0053944823428240946,0.19974708898881852,0.3
0.19,-0.005693811573793013,0.1997287673543031,0.3
0.2,-0.005993097962910128,0.19970999668465503,0.3
0.21,-0.006292340835718953,0.19969077706713984,0.3
0.22,-0.006591539517951571,0.19967110859003276,0.3
0.23,-0.00689069333552863,0.19965099134261877,0.3
0.24,-0.007189801614559346,0.19963042541519255,0.3
0.25,-0.007488863681341505,0.19960941089905856,0.3
0.26,-0.0077878788623614555,0.19958794788653098,0.3
0.27,-0.008086846484294113,0.19956603647093366,0.3
0.28,-0.008385765874002964,0.1995436767466002,0.3
0.29,-0.008684636358540056,0.199520868808874,0.3
0.3,-0.008983457265146017,0.1994976127541081,0.3
0.31,-0.009282227921250023,0.1994739086796653,0.3
0.32,-0.009580947654469834,0.19944975668391815,0.3
0.33,-0.009879615792611762,0.19942515686624887,0.3
0.34,-0.010178231663670701,0.1994001093270495,0.3
0.35000000000000003,-0.010476794595830103,0.19937461416772168,0.3
0.36,-0.010775303917461988,0.19934867149067692,0.3
0.37,-0.011073758957126947,0.19932228139933636,0.3
0.38,-0.01137215904357413,0.1992954439981309,0.3
